0.5259269691416835 0390 1959
0.5259269691416835 0317 0571
0.5259269691416835 0258 0390
0.5259269691416835 0038 0460
0.5259269691416835 0317 0442
0.5259269691416835 0317 5327
0.5259269691416835 0038 5085
0.5259269691416835 0038 0576
0.5259269691416835 0390 5679
0.5259269691416835 0317 0389 0448
0.5259269691416835 3119
0.5259269691416835 0390 0421
0.5259269691416835 0038 0443
0.5259269691416835 0317 0459
0.5259269691416835 0390 0551
0.5259269691416835 0280 0317
0.5259269691416835 0317 0851
0.5259269691416835 0425 1102
0.5259269691416835 0390 0716
0.5259269691416835 0317 0412
0.5259269691416835 0548 0554
0.5259269691416835 0038 0687
0.5259269691416835 0447 0548
0.5259269691416835 0390 1992
0.5259269691416835 0127 0390
0.5259269691416835 0390 0443
0.5259269691416835 0390 0498
0.5259269691416835 0317 0496
0.5259269691416835 0129 0548
0.5259269691416835 0038 0204
0.5259269691416835 0317 0338
0.5259269691416835 0251 0390
0.5259269691416835 0317 0754
0.5259269691416835 0390 0579
0.5259269691416835 0390 2583
0.5259269691416835 0390 2422
0.5259269691416835 0317 0640
0.5259269691416835 0038 0317 0400
0.5259269691416835 0096 0317 0473
0.5259269691416835 0066 0317 0448
0.5259269691416835 0317 0496 1836
0.5259269691416835 0129 0390 0548
0.5259269691416835 0038 0066 0317 0400
0.5259269691416835 0164 0390
0.5259269691416835 0038 0195
0.5259269691416835 0317 0472
0.5259269691416835 0425 0770
0.5259269691416835 0038 0853
0.5259269691416835 0317 0443
0.5259269691416835 0317 1048
0.5259269691416835 0390 0547
0.5259269691416835 0390 0512
0.5259269691416835 0390 0474
0.5259269691416835 0317 0389 0390
0.5259269691416835 0066 0390 0400
0.5259269691416835 1840
0.5259269691416835 3384
0.5259269691416835 0390 0603
0.5259269691416835 0029 0390
0.5259269691416835 0390 0520
0.5259269691416835 0390 0497
0.5259269691416835 0294 0317
0.5259269691416835 0389 0554
0.5259269691416835 0038 0892
0.5259269691416835 0038 0559
0.5259269691416835 0390 0415
0.5259269691416835 0448 1102
0.5259269691416835 0038 3078
0.5259269691416835 0038 0403
0.5259269691416835 0229 0317
0.5259269691416835 0390 5085
0.5259269691416835 0390 1889
0.5259269691416835 0038 0412
0.5259269691416835 0389 0390 0473
0.5259269691416835 0317 0389 0473
0.5259269691416835 0129 0359 0390
0.5259269691416835 1818
0.5259269691416835 4151
0.5259269691416835 4193
0.5259269691416835 0317 0359
0.5259269691416835 0317 0446
0.5259269691416835 0390 0678
0.5259269691416835 0425 0512
0.5259269691416835 0172 0390
0.5259269691416835 0038 0782
0.5259269691416835 0317 0453
0.5259269691416835 0390 0734
0.5259269691416835 0038 0167
0.5259269691416835 0390 0666
0.5259269691416835 0294 0390
0.5259269691416835 0390 0736
0.5259269691416835 0288 0390
0.5259269691416835 0425 0473
0.5259269691416835 0140 0317
0.5259269691416835 0390 0817
0.5259269691416835 0390 0815
0.5259269691416835 0389 1263
0.5259269691416835 0317 0504
0.5259269691416835 0448 2068
0.5259269691416835 0038 0600
0.5259269691416835 0195 0448
0.5259269691416835 0038 0604
0.5259269691416835 0317 0764
0.5259269691416835 0038 0934
0.5259269691416835 0038 1964
0.5259269691416835 0390 0914
0.5259269691416835 0390 0602
0.5259269691416835 0390 0938
0.5259269691416835 0390 3504
0.5259269691416835 0390 0425 1102
0.5259269691416835 0317 0390 0473
0.5259269691416835 0038 0317 0797
0.5259269691416835 1693
0.5259269691416835 3555
0.5259269691416835 8227
0.5259269691416835 0140 0425
0.5259269691416835 0390 0489
0.5259269691416835 0390 0492
0.5259269691416835 0038 0733
0.5259269691416835 0448 0814
0.5259269691416835 0066 0797
0.5259269691416835 0135 0390
0.5259269691416835 0017 0038
0.5259269691416835 0317 0909
0.5259269691416835 0038 0495
0.5259269691416835 0317 2037
0.5259269691416835 0565 2050
0.5259269691416835 0548 0874
0.5259269691416835 0389 1048
0.5259269691416835 0389 1818
0.5259269691416835 0390 2101
0.5259269691416835 0390 0731
0.5259269691416835 0389 0487
0.5259269691416835 0389 0416
0.5259269691416835 0339 0425
0.5259269691416835 0317 0549
0.5259269691416835 0317 0415
0.5259269691416835 0129 0317
0.5259269691416835 0390 0909
0.5259269691416835 0390 2329
0.5259269691416835 0081 0390
0.5259269691416835 0317 1507
0.5259269691416835 0390 0571
0.5259269691416835 0390 1096
0.5259269691416835 0038 0174
0.5259269691416835 0317 1017
0.5259269691416835 0282 0317
0.5259269691416835 0390 1263
0.5259269691416835 0389 0404
0.5259269691416835 0038 2870
0.5259269691416835 0390 0496
0.5259269691416835 0285 0390
